x1 x2 y
16.877569 3.355351 2
8.610890 12.125960 2
15.988446 12.127440 2
17.163584 10.796282 2
18.349380 6.152352 2
20.984823 20.903572 2
12.691703 13.908867 2
12.740224 6.220929 2
18.846355 20.222567 2
16.521002 2.754186 2
10.607424 16.489332 2
9.469901 23.481043 2
10.774662 26.844349 2
10.254398 25.596563 2
11.497568 13.166229 2
9.037722 3.593316 2
14.146081 23.466908 2
20.087353 15.809671 2
18.644085 11.150699 2
9.475530 12.479767 2
12.332362 2.387110 2
13.519282 22.902594 2
10.661661 5.050331 2
17.099504 7.867147 2
11.304325 16.529888 2
10.143028 11.475276 2
15.738016 2.055230 2
15.301294 10.305951 2
15.881123 8.689184 2
16.169819 15.251086 2
8.776750 11.829188 2
9.758833 24.014912 2
14.182921 2.908185 2
11.062962 4.010137 2
20.870949 20.172506 2
10.824802 25.643999 2
15.385372 4.832014 2
19.477894 12.418760 2
16.743937 14.943056 2
10.701170 22.827469 2
16.179373 24.702599 2
18.280317 26.946865 2
8.222373 4.194546 2
20.032400 19.618914 2
19.663523 4.235743 2
17.706915 2.123448 2
20.220282 5.150403 2
13.910130 24.974810 2
15.989140 19.174702 2
10.160958 17.999315 2
17.511929 26.223463 2
9.531090 4.584756 2
18.211737 22.116016 2
18.142860 2.827266 2
9.415745 6.390115 2
18.977644 9.448889 2
18.939404 12.662396 2
12.577536 17.962822 2
17.591139 11.457892 2
15.702947 2.725266 2
16.718645 19.116920 2
8.143861 23.956942 2
16.276230 6.174949 2
12.815061 3.692400 2
19.431021 7.543144 2
15.587201 17.966354 2
18.346430 5.544909 2
20.862207 13.846023 2
11.001300 26.398350 2
15.614587 10.209361 2
20.386156 19.490078 2
16.232248 26.087620 2
9.980406 22.397635 2
15.758770 13.571306 2
14.462700 25.522093 2
18.677919 6.371250 2
20.331463 9.251031 2
20.751844 16.450155 2
14.440338 24.219982 2
11.891278 11.447196 2
10.154035 3.577396 2
19.083742 9.823493 2
12.361520 5.066601 2
20.381411 9.107901 2
10.222123 3.215974 2
20.017466 13.819910 2
20.890192 7.539669 2
9.554041 26.605042 2
16.720041 9.686447 2
20.160446 8.331901 2
19.354343 12.827846 2
11.206981 3.212492 2
14.137994 6.883412 2
19.534981 22.936348 2
14.513888 23.751316 2
13.615463 4.451436 2
10.831414 16.184727 2
13.260915 13.069715 2
8.181907 15.812126 2
17.181906 5.292554 2
12.151212 12.654984 2
12.600968 23.097342 2
10.888138 15.814210 2
20.462931 14.976195 2
9.623943 13.005429 2
12.985814 13.208057 2
12.919254 6.147044 2
11.915689 13.531244 2
15.596197 5.005021 2
13.522503 6.405970 2
9.105347 6.837317 2
20.242504 15.701203 2
12.716930 4.181470 2
19.101929 14.878002 2
9.783453 25.842064 2
19.886362 13.272939 2
13.436456 3.021608 2
13.299367 17.185663 2
10.531693 6.245507 2
13.868000 4.285067 2
8.652564 22.217958 2
15.359014 5.822924 2
16.431561 23.821028 2
19.785872 8.395713 2
8.874922 14.410774 2
12.682424 13.165541 2
18.079983 4.834067 2
12.900905 11.047921 2
12.383960 11.902271 2
8.740069 15.302771 2
10.114020 14.822655 2
18.785250 8.616912 2
15.545514 17.397362 2
15.973567 2.912397 2
13.890244 26.624491 2
9.249652 17.299519 2
11.771358 6.387403 2
15.638770 6.718791 2
20.261843 8.613814 2
17.736555 22.453190 2
19.192860 23.849474 2
8.861945 14.028103 2
18.600409 24.740953 2
11.523459 22.510700 2
17.037933 18.945309 2
10.095937 25.181097 2
17.102291 21.239975 2
18.759291 3.324420 2
16.413645 23.080742 2
15.696616 9.014827 2
17.441727 14.021471 2
13.756125 12.821830 2
20.175598 26.301464 2
16.411936 13.584454 2
13.756373 15.451853 2
20.781178 10.540559 2
9.070812 4.824698 2
14.206049 24.136847 2
18.432610 6.048795 2
16.517988 25.137777 2
14.210515 2.147758 2
9.873216 13.011459 2
16.317743 5.291333 2
13.992053 24.753559 2
11.844931 24.522383 2
17.651093 22.324923 2
18.802603 21.565826 2
9.215759 2.135214 2
19.122528 23.079475 2
19.666222 19.929253 2
11.175978 2.118163 2
16.809170 10.255755 2
19.334410 15.757253 2
15.308461 5.964802 2
17.816082 3.686556 2
11.790972 12.432819 2
20.928831 10.412557 2
19.616196 20.023809 2
10.411284 6.173865 2
19.030972 12.804978 2
16.652617 14.694369 2
15.380073 9.744278 2
9.495475 14.823535 2
14.366511 15.222121 2
17.194855 4.376069 2
17.591373 24.906261 2
18.632217 9.475169 2
17.833143 21.159670 2
11.952259 25.670284 2
14.783881 12.144651 2
20.993204 10.569071 2
8.127660 26.949247 2
17.422575 24.320379 2
8.613400 2.748754 2
15.789335 13.921250 2
16.851324 23.543968 2
8.212205 25.094791 2
9.057285 17.603397 2
10.048077 3.208650 2
8.975510 11.169908 2
14.131273 26.185127 2
16.735912 6.674565 2
14.041012 12.079763 2
13.613099 24.363300 2
11.536540 11.882900 2
17.299635 12.378761 2
10.241300 5.313939 2
20.955980 3.351439 2
18.021999 14.116034 2
16.754656 16.115757 2
13.758124 6.550071 2
19.095631 8.439634 2
11.048025 16.470312 2
15.250446 25.532772 2
16.619743 5.517100 2
15.993793 9.601885 2
13.522017 22.085861 2
16.173016 18.918627 2
18.660732 17.641632 2
10.817830 12.785185 2
20.593315 21.675068 2
15.715344 15.172300 2
18.291578 14.309971 2
11.620655 22.533270 2
14.531079 16.908512 2
16.706924 18.915710 2
14.757228 6.149354 2
17.154490 24.975662 2
17.258034 4.672293 2
16.454119 3.300258 2
9.004572 24.288237 2
20.213354 4.993790 2
14.478730 17.941004 2
20.179138 20.418674 2
20.228125 25.773254 2
15.976716 16.415026 2
16.541859 4.481187 2
9.086419 16.740723 2
19.123280 7.149714 2
15.484100 13.711933 2
18.981724 21.175343 2
17.234177 26.395187 2
17.128761 9.187596 2
20.687721 14.925642 2
18.461931 8.372660 2
16.513308 5.815247 2
20.436363 18.343992 2
9.530821 16.870802 2
18.988626 20.690945 2
20.172739 24.973261 2
18.791063 25.637541 2
20.914736 12.599043 2
14.995675 14.609981 2
19.560003 13.484118 2
9.025639 23.022469 2
17.032051 6.181671 2
8.637753 4.437264 2
13.867517 11.634439 2
18.734982 9.035022 2
17.602205 21.025717 2
8.036385 15.852427 2
19.017927 23.890108 2
13.378508 16.904905 2
18.580252 26.666092 2
20.025339 13.126965 2
13.896248 3.432417 2
17.295889 24.378115 2
19.782423 5.170311 2
20.129366 16.716003 2
14.719727 22.244633 2
19.930550 2.828704 2
17.374319 5.238560 2
19.557316 4.738115 2
18.410797 3.808220 2
16.427744 13.296984 2
12.323290 6.767730 2
15.760466 9.859916 2
20.862497 10.574942 2
11.519907 4.151396 2
18.690868 21.856176 2
14.841529 13.064006 2
18.313131 2.583078 2
12.975504 16.521788 2
13.604863 25.087818 2
14.085988 24.301268 2
17.594343 24.949463 2
18.808407 9.812266 2
13.608485 14.688875 2
17.287027 11.616460 2
11.316702 22.174080 2
14.676656 6.910694 2
8.935680 3.080561 2
19.293554 19.418251 2
15.903088 15.263805 2
10.748537 5.931803 2
19.467615 3.084868 2
13.117008 16.235590 2
17.388729 8.435586 2
17.580290 11.804480 2
19.106924 3.748594 2
14.144018 26.882500 2
17.354942 11.848203 2
12.278296 25.494785 2
13.821612 12.798835 2
19.099421 21.434505 2
8.499491 15.954939 2
14.867406 13.102433 2
19.927856 26.881315 2
15.321824 18.524143 2
17.190062 26.073948 2
12.461548 23.140825 2
9.101773 3.948426 2
17.002588 11.772201 2
19.474556 6.241238 2
19.205347 22.010990 2
8.968733 22.369171 2
17.303247 18.413488 2
11.599394 6.270484 2
18.177893 9.920039 2
12.271010 17.423883 2
18.458069 16.047539 2
16.592291 13.490886 2
19.928703 4.537008 2
18.920517 18.743973 2
9.752752 25.295876 2
8.919802 16.191208 2
10.141048 23.385471 2
16.645245 19.986546 2
11.540346 14.536994 2
12.599310 3.109152 2
16.998333 15.000288 2
20.821796 14.166209 2
10.706749 23.116671 2
15.852452 23.153242 2
17.387482 17.967176 2
16.569256 25.408730 2
13.909061 4.719631 2
13.440210 5.906097 2
13.443332 6.775692 2
18.518641 14.871220 2
17.950464 25.977406 2
20.738352 26.785330 2
11.470117 13.330643 2
19.861025 24.906822 2
13.392415 17.212759 2
11.213719 26.286642 2
9.517885 26.276184 2
15.531136 3.494995 2
10.380708 25.461403 2
20.770128 17.591812 2
12.529587 3.084475 2
9.968457 13.456714 2
12.942270 2.197002 2
12.576509 13.386918 2
10.065173 4.690329 2
20.606300 16.319077 2
20.595039 25.445660 2
14.849754 5.634327 2
12.075813 22.601034 2
18.734728 20.382677 2
17.535389 9.270717 2
15.340947 8.898318 2
15.127565 23.321993 2
20.544550 24.447432 2
10.052997 6.004047 2
17.664770 25.134415 2
20.053246 25.722771 2
11.392793 6.818339 2
12.561081 3.588091 2
11.370297 12.017726 2
12.595305 12.210427 2
8.369104 12.003695 2
13.780184 26.142040 2
19.204531 23.679934 2
16.204451 19.412813 2
15.436449 10.762631 2
15.263999 16.679926 2
11.436689 15.872224 2
11.530451 16.556253 2
16.167274 12.617990 2
9.786758 13.151114 2
12.808142 17.439554 2
11.347815 11.469979 2
18.572872 20.609306 2
12.580430 2.824085 2
18.378481 15.684927 2
15.921490 7.604093 2
9.791198 25.099245 2
16.689781 23.486034 2
19.991522 10.029288 2
19.347895 17.696997 2
18.303623 4.347988 2
18.846476 19.797649 2
18.369482 19.970779 2
13.374245 16.396883 2
20.918238 4.831843 2
14.479179 12.403141 2
15.945542 25.354528 2
18.916553 3.982014 2
14.363506 25.357803 2
